AREA,PRIM_ST,STATE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,YEAR,HOURLY,JOBS_1000,LOC QUOTIENT,LOC_Q,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,PRIM_STATE,PCT_TOTAL,PCT_RPT
4,AZ,Arizona,11-3051,Industrial Production Managers,,"2,310",4.7,33.68,"70,050",1.5,18.85,24.79,32.77,41.71,51.97,"39,210","51,550","68,160","86,760","108,090",,2001,,,,,,,,,,,,
4,AZ,Arizona,11-9051,Food Service Managers,,"8,260",7.3,15.98,"33,240",2.4,10.92,12.19,14.86,19.10,23.25,"22,710","25,360","30,900","39,730","48,360",,2001,,,,,,,,,,,,
4,AZ,Arizona,17-2112,Industrial Engineers,,"3,790",25.7,28.40,"59,070",3.6,16.71,21.19,28.58,34.70,41.95,"34,760","44,080","59,450","72,180","87,260",,2001,,,,,,,,,,,,
4,AZ,Arizona,17-2131,Materials Engineers,,400,3.9,31.67,"65,880",4.7,18.38,22.96,31.46,38.79,44.29,"38,220","47,760","65,440","80,690","92,110",,2001,,,,,,,,,,,,
4,AZ,Arizona,19-2032,Materials Scientists,,170,27.3,27.50,"57,200",10.0,14.79,17.09,23.09,38.15,48.22,"30,760","35,550","48,030","79,360","100,300",,2001,,,,,,,,,,,,
4,AZ,Arizona,27-1021,Commercial And Industrial Designers,,460,21.7,21.97,"45,690",5.0,14.45,17.63,21.14,25.44,28.53,"30,060","36,660","43,960","52,920","59,340",,2001,,,,,,,,,,,,
4,AZ,Arizona,29-1123,Physical Therapists,,"2,140",10.9,28.25,"58,750",1.6,19.11,23.26,27.44,33.24,39.36,"39,740","48,380","57,080","69,140","81,870",,2001,,,,,,,,,,,,
4,AZ,Arizona,35-2021,Food Preparation Workers,,"16,750",11.4,7.15,"14,880",1.8,5.59,6.00,6.69,7.89,9.04,"11,630","12,490","13,910","16,400","18,810",,2001,,,,,,,,,,,,
4,AZ,Arizona,41-2022,Parts Salespersons,,"3,570",6.9,13.67,"28,440",3.0,7.57,9.22,12.30,16.73,21.60,"15,750","19,190","25,580","34,790","44,930",,2001,,,,,,,,,,,,
4,AZ,Arizona,43-4021,Correspondence Clerks,,270,20.7,11.87,"24,690",1.8,9.09,9.88,11.20,13.27,15.82,"18,900","20,550","23,290","27,590","32,900",,2001,,,,,,,,,,,,
4,AZ,Arizona,43-4071,File Clerks,,"4,510",11.7,9.04,"18,790",1.7,6.09,7.05,8.60,10.75,12.90,"12,660","14,660","17,890","22,360","26,820",,2001,,,,,,,,,,,,
4,AZ,Arizona,43-4151,Order Clerks,,"5,380",8.2,11.13,"23,150",1.7,7.51,8.73,10.46,13.07,16.14,"15,630","18,160","21,750","27,180","33,560",,2001,,,,,,,,,,,,
4,AZ,Arizona,49-9041,Industrial Machinery Mechanics,,"1,250",10.5,18.28,"38,020",2.0,12.42,15.08,17.86,20.67,24.45,"25,840","31,370","37,150","42,990","50,860",,2001,,,,,,,,,,,,
4,AZ,Arizona,49-9043,"Maintenance Workers, Machinery",,"2,450",8.8,18.29,"38,040",4.5,10.00,13.47,18.25,21.90,28.02,"20,790","28,020","37,950","45,560","58,280",,2001,,,,,,,,,,,,
4,AZ,Arizona,51-0000,Production Occupations,major,"132,090",4.0,12.62,"26,250",1.5,6.72,8.34,10.99,15.60,20.94,"13,980","17,350","22,850","32,440","43,550",,2001,,,,,,,,,,,,
4,AZ,Arizona,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,"9,490",5.7,20.51,"42,660",1.6,11.83,14.86,18.87,24.38,32.24,"24,610","30,900","39,240","50,700","67,050",,2001,,,,,,,,,,,,
4,AZ,Arizona,51-5021,Job Printers,,780,19.5,12.56,"26,130",3.1,8.12,9.48,11.72,15.41,18.26,"16,890","19,720","24,390","32,060","37,980",,2001,,,,,,,,,,,,
