AREA,PRIM_ST,STATE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,YEAR,HOURLY,JOBS_1000,LOC QUOTIENT,LOC_Q,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,PRIM_STATE,PCT_TOTAL,PCT_RPT
1,AL,Alabama,11-3051,Industrial Production Managers,,"2,860",2.9,29.10,"60,530",1.1,16.10,20.61,27.28,35.63,45.32,"33,490","42,880","56,740","74,120","94,260",,2001,,,,,,,,,,,,
1,AL,Alabama,11-9051,Food Service Managers,,"5,590",8.1,14.90,"31,000",2.7,8.61,10.45,13.43,17.90,23.59,"17,910","21,740","27,930","37,230","49,080",,2001,,,,,,,,,,,,
1,AL,Alabama,17-2112,Industrial Engineers,,"1,880",5.4,27.86,"57,950",1.9,17.15,21.69,26.75,33.80,41.57,"35,670","45,110","55,640","70,300","86,470",,2001,,,,,,,,,,,,
1,AL,Alabama,17-2131,Materials Engineers,,360,5.3,31.83,"66,200",3.0,19.99,24.89,32.06,38.60,43.34,"41,570","51,770","66,690","80,300","90,140",,2001,,,,,,,,,,,,
1,AL,Alabama,19-2032,Materials Scientists,,40,3.3,22.97,"47,780",4.3,14.98,16.51,20.03,29.32,37.90,"31,150","34,330","41,650","61,000","78,830",,2001,,,,,,,,,,,,
1,AL,Alabama,23-2092,Law Clerks,,630,27.5,11.62,"24,170",5.9,6.72,8.17,10.07,15.01,19.23,"13,990","17,000","20,940","31,210","40,000",,2001,,,,,,,,,,,,
1,AL,Alabama,27-1021,Commercial And Industrial Designers,,260,23.9,20.66,"42,970",4.3,11.71,14.37,18.51,27.33,33.44,"24,360","29,890","38,510","56,850","69,550",,2001,,,,,,,,,,,,
1,AL,Alabama,29-1123,Physical Therapists,,"1,350",6.4,28.30,"58,870",2.5,16.08,23.18,28.64,34.08,41.71,"33,450","48,210","59,560","70,890","86,750",,2001,,,,,,,,,,,,
1,AL,Alabama,35-2021,Food Preparation Workers,,"6,420",6.4,7.01,"14,590",1.0,5.65,6.06,6.74,7.88,8.97,"11,740","12,590","14,020","16,390","18,650",,2001,,,,,,,,,,,,
1,AL,Alabama,41-2022,Parts Salespersons,,"4,510",7.1,12.36,"25,720",2.2,6.56,8.07,11.25,15.49,20.10,"13,650","16,780","23,390","32,220","41,810",,2001,,,,,,,,,,,,
1,AL,Alabama,43-4021,Correspondence Clerks,,300,23.4,12.12,"25,200",3.4,7.97,9.51,11.31,15.18,17.40,"16,570","19,790","23,530","31,580","36,200",,2001,,,,,,,,,,,,
1,AL,Alabama,43-4071,File Clerks,,"3,220",7.0,8.55,"17,790",1.2,5.90,6.65,8.04,9.96,12.31,"12,280","13,840","16,730","20,710","25,610",,2001,,,,,,,,,,,,
1,AL,Alabama,43-4151,Order Clerks,,"4,070",5.8,10.23,"21,270",1.7,6.37,7.51,9.20,12.38,15.82,"13,240","15,610","19,130","25,760","32,900",,2001,,,,,,,,,,,,
1,AL,Alabama,47-2072,Pile-Driver Operators,,50,18.5,13.08,"27,210",5.4,10.22,11.31,12.49,13.73,16.65,"21,260","23,520","25,980","28,550","34,630",,2001,,,,,,,,,,,,
1,AL,Alabama,49-9041,Industrial Machinery Mechanics,,"4,110",5.6,15.40,"32,040",2.4,10.02,11.83,14.17,18.04,23.69,"20,840","24,600","29,470","37,530","49,270",,2001,,,,,,,,,,,,
1,AL,Alabama,49-9043,"Maintenance Workers, Machinery",,"1,820",8.0,12.75,"26,510",2.2,7.47,9.31,12.53,15.60,18.47,"15,530","19,370","26,070","32,440","38,410",,2001,,,,,,,,,,,,
1,AL,Alabama,51-0000,Production Occupations,major,"220,810",1.4,12.12,"25,200",1.1,6.99,8.27,10.58,14.53,20.00,"14,540","17,190","22,000","30,230","41,600",,2001,,,,,,,,,,,,
1,AL,Alabama,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,"13,720",2.6,19.87,"41,320",1.0,11.10,14.16,18.71,24.34,30.81,"23,080","29,450","38,910","50,620","64,090",,2001,,,,,,,,,,,,
1,AL,Alabama,51-5021,Job Printers,,440,16.7,12.54,"26,080",3.3,7.62,9.75,12.77,15.64,17.08,"15,850","20,280","26,570","32,520","35,530",,2001,,,,,,,,,,,,
1,AL,Alabama,53-3031,Driver/Sales Workers,,"5,450",11.5,11.53,"23,990",4.2,5.85,6.64,10.12,15.49,20.03,"12,170","13,810","21,050","32,210","41,670",,2001,,,,,,,,,,,,
2,AK,Alaska,11-3051,Industrial Production Managers,,110,11.1,29.68,"61,730",4.5,15.92,19.62,25.48,37.40,53.92,"33,120","40,810","53,000","77,790","112,160",,2001,,,,,,,,,,,,
2,AK,Alaska,11-9051,Food Service Managers,,510,18.1,16.74,"34,820",3.7,7.32,12.49,16.12,20.57,26.14,"15,220","25,970","33,530","42,790","54,380",,2001,,,,,,,,,,,,
2,AK,Alaska,17-2112,Industrial Engineers,,80,16.6,36.41,"75,740",3.6,25.44,30.05,34.88,43.94,51.38,"52,910","62,510","72,540","91,400","106,870",,2001,,,,,,,,,,,,
2,AK,Alaska,17-2131,Materials Engineers,,40,35.4,34.61,"71,990",7.1,24.76,29.13,34.04,40.71,46.92,"51,490","60,590","70,800","84,670","97,600",,2001,,,,,,,,,,,,
2,AK,Alaska,23-2092,Law Clerks,,90,0.7,17.68,"36,780",1.9,14.13,15.86,18.10,19.93,21.02,"29,400","33,000","37,660","41,440","43,720",,2001,,,,,,,,,,,,
2,AK,Alaska,29-1123,Physical Therapists,,280,24.4,27.22,"56,620",2.6,21.12,24.35,27.72,31.63,34.30,"43,930","50,640","57,660","65,790","71,340",,2001,,,,,,,,,,,,
2,AK,Alaska,35-2021,Food Preparation Workers,,"2,400",19.8,10.30,"21,430",3.1,6.11,6.70,9.65,12.52,16.17,"12,700","13,930","20,070","26,050","33,640",,2001,,,,,,,,,,,,
2,AK,Alaska,41-2022,Parts Salespersons,,650,8.8,14.46,"30,070",2.7,9.56,11.51,13.75,16.95,20.86,"19,880","23,950","28,600","35,260","43,390",,2001,,,,,,,,,,,,
2,AK,Alaska,43-4071,File Clerks,,750,7.2,11.09,"23,080",4.3,7.64,8.46,10.31,13.32,16.14,"15,880","17,590","21,450","27,700","33,570",,2001,,,,,,,,,,,,
2,AK,Alaska,43-4151,Order Clerks,,420,13.9,15.22,"31,660",2.8,9.89,11.47,14.42,18.50,21.32,"20,570","23,850","30,000","38,470","44,340",,2001,,,,,,,,,,,,
2,AK,Alaska,49-9041,Industrial Machinery Mechanics,,410,14.6,24.81,"51,610",6.2,14.77,18.81,23.26,28.35,35.33,"30,730","39,130","48,390","58,980","73,480",,2001,,,,,,,,,,,,
2,AK,Alaska,49-9043,"Maintenance Workers, Machinery",,220,22.8,18.02,"37,470",4.3,9.85,14.72,17.52,22.08,25.70,"20,480","30,610","36,450","45,920","53,450",,2001,,,,,,,,,,,,
2,AK,Alaska,51-0000,Production Occupations,major,"9,620",4.3,18.53,"38,530",6.1,7.63,9.97,15.52,25.62,35.26,"15,870","20,740","32,280","53,280","73,340",,2001,,,,,,,,,,,,
2,AK,Alaska,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,530,8.4,28.82,"59,950",3.1,12.52,19.35,27.22,38.70,48.30,"26,040","40,240","56,610","80,490","100,460",,2001,,,,,,,,,,,,
2,AK,Alaska,53-3031,Driver/Sales Workers,,580,23.7,11.71,"24,360",7.8,7.18,8.06,10.33,15.07,18.80,"14,940","16,760","21,490","31,340","39,100",,2001,,,,,,,,,,,,
4,AZ,Arizona,11-3051,Industrial Production Managers,,"2,310",4.7,33.68,"70,050",1.5,18.85,24.79,32.77,41.71,51.97,"39,210","51,550","68,160","86,760","108,090",,2001,,,,,,,,,,,,
4,AZ,Arizona,11-9051,Food Service Managers,,"8,260",7.3,15.98,"33,240",2.4,10.92,12.19,14.86,19.10,23.25,"22,710","25,360","30,900","39,730","48,360",,2001,,,,,,,,,,,,
4,AZ,Arizona,17-2112,Industrial Engineers,,"3,790",25.7,28.40,"59,070",3.6,16.71,21.19,28.58,34.70,41.95,"34,760","44,080","59,450","72,180","87,260",,2001,,,,,,,,,,,,
4,AZ,Arizona,17-2131,Materials Engineers,,400,3.9,31.67,"65,880",4.7,18.38,22.96,31.46,38.79,44.29,"38,220","47,760","65,440","80,690","92,110",,2001,,,,,,,,,,,,
4,AZ,Arizona,19-2032,Materials Scientists,,170,27.3,27.50,"57,200",10.0,14.79,17.09,23.09,38.15,48.22,"30,760","35,550","48,030","79,360","100,300",,2001,,,,,,,,,,,,
4,AZ,Arizona,27-1021,Commercial And Industrial Designers,,460,21.7,21.97,"45,690",5.0,14.45,17.63,21.14,25.44,28.53,"30,060","36,660","43,960","52,920","59,340",,2001,,,,,,,,,,,,
4,AZ,Arizona,29-1123,Physical Therapists,,"2,140",10.9,28.25,"58,750",1.6,19.11,23.26,27.44,33.24,39.36,"39,740","48,380","57,080","69,140","81,870",,2001,,,,,,,,,,,,
4,AZ,Arizona,35-2021,Food Preparation Workers,,"16,750",11.4,7.15,"14,880",1.8,5.59,6.00,6.69,7.89,9.04,"11,630","12,490","13,910","16,400","18,810",,2001,,,,,,,,,,,,
4,AZ,Arizona,41-2022,Parts Salespersons,,"3,570",6.9,13.67,"28,440",3.0,7.57,9.22,12.30,16.73,21.60,"15,750","19,190","25,580","34,790","44,930",,2001,,,,,,,,,,,,
4,AZ,Arizona,43-4021,Correspondence Clerks,,270,20.7,11.87,"24,690",1.8,9.09,9.88,11.20,13.27,15.82,"18,900","20,550","23,290","27,590","32,900",,2001,,,,,,,,,,,,
4,AZ,Arizona,43-4071,File Clerks,,"4,510",11.7,9.04,"18,790",1.7,6.09,7.05,8.60,10.75,12.90,"12,660","14,660","17,890","22,360","26,820",,2001,,,,,,,,,,,,
4,AZ,Arizona,43-4151,Order Clerks,,"5,380",8.2,11.13,"23,150",1.7,7.51,8.73,10.46,13.07,16.14,"15,630","18,160","21,750","27,180","33,560",,2001,,,,,,,,,,,,
4,AZ,Arizona,49-9041,Industrial Machinery Mechanics,,"1,250",10.5,18.28,"38,020",2.0,12.42,15.08,17.86,20.67,24.45,"25,840","31,370","37,150","42,990","50,860",,2001,,,,,,,,,,,,
4,AZ,Arizona,49-9043,"Maintenance Workers, Machinery",,"2,450",8.8,18.29,"38,040",4.5,10.00,13.47,18.25,21.90,28.02,"20,790","28,020","37,950","45,560","58,280",,2001,,,,,,,,,,,,
4,AZ,Arizona,51-0000,Production Occupations,major,"132,090",4.0,12.62,"26,250",1.5,6.72,8.34,10.99,15.60,20.94,"13,980","17,350","22,850","32,440","43,550",,2001,,,,,,,,,,,,
4,AZ,Arizona,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,"9,490",5.7,20.51,"42,660",1.6,11.83,14.86,18.87,24.38,32.24,"24,610","30,900","39,240","50,700","67,050",,2001,,,,,,,,,,,,
4,AZ,Arizona,51-5021,Job Printers,,780,19.5,12.56,"26,130",3.1,8.12,9.48,11.72,15.41,18.26,"16,890","19,720","24,390","32,060","37,980",,2001,,,,,,,,,,,,
4,AZ,Arizona,53-3031,Driver/Sales Workers,,"7,850",11.2,9.65,"20,070",5.1,5.75,6.38,7.91,11.44,16.63,"11,950","13,280","16,450","23,800","34,590",,2001,,,,,,,,,,,,
5,AR,Arkansas,11-3051,Industrial Production Managers,,"1,880",3.0,29.59,"61,540",1.8,16.71,21.39,27.99,35.87,46.43,"34,750","44,490","58,210","74,600","96,580",,2001,,,,,,,,,,,,
5,AR,Arkansas,11-9051,Food Service Managers,,"1,330",9.6,17.62,"36,640",3.4,9.82,12.68,16.55,21.38,26.98,"20,430","26,380","34,420","44,460","56,130",,2001,,,,,,,,,,,,
5,AR,Arkansas,17-2112,Industrial Engineers,,"1,260",8.1,26.09,"54,270",1.2,17.72,20.96,25.74,31.10,35.72,"36,860","43,590","53,530","64,680","74,290",,2001,,,,,,,,,,,,
5,AR,Arkansas,17-2131,Materials Engineers,,110,12.5,27.12,"56,410",1.6,18.91,22.48,26.55,32.00,37.18,"39,320","46,760","55,230","66,560","77,340",,2001,,,,,,,,,,,,
5,AR,Arkansas,23-2092,Law Clerks,,440,24.1,12.36,"25,720",7.7,6.53,9.22,11.05,15.78,19.25,"13,590","19,170","22,980","32,820","40,040",,2001,,,,,,,,,,,,
5,AR,Arkansas,27-1021,Commercial And Industrial Designers,,70,21.8,20.33,"42,280",3.3,12.99,15.27,18.94,25.01,29.96,"27,030","31,750","39,390","52,010","62,320",,2001,,,,,,,,,,,,
5,AR,Arkansas,29-1123,Physical Therapists,,"1,010",10.4,25.62,"53,290",2.3,16.25,20.76,25.00,29.25,37.16,"33,810","43,190","51,990","60,840","77,290",,2001,,,,,,,,,,,,
5,AR,Arkansas,35-2021,Food Preparation Workers,,"7,020",9.6,7.15,"14,870",1.7,5.64,6.05,6.74,7.96,9.09,"11,720","12,580","14,010","16,570","18,900",,2001,,,,,,,,,,,,
5,AR,Arkansas,41-2022,Parts Salespersons,,"2,930",9.3,10.59,"22,020",2.0,6.77,8.05,9.84,12.41,16.04,"14,080","16,740","20,460","25,800","33,350",,2001,,,,,,,,,,,,
5,AR,Arkansas,43-4021,Correspondence Clerks,,90,33.2,10.30,"21,430",2.2,7.95,8.93,10.05,11.57,13.25,"16,530","18,570","20,890","24,060","27,560",,2001,,,,,,,,,,,,
5,AR,Arkansas,43-4071,File Clerks,,"2,420",7.7,8.15,"16,950",2.1,5.84,6.60,7.68,8.96,11.24,"12,150","13,720","15,980","18,640","23,390",,2001,,,,,,,,,,,,
5,AR,Arkansas,43-4151,Order Clerks,,"1,800",5.5,10.11,"21,020",2.0,6.65,7.76,9.32,11.64,14.51,"13,820","16,130","19,380","24,210","30,170",,2001,,,,,,,,,,,,
5,AR,Arkansas,49-9041,Industrial Machinery Mechanics,,"2,400",5.5,16.82,"34,990",3.2,11.07,13.03,15.69,19.09,26.15,"23,030","27,100","32,630","39,720","54,400",,2001,,,,,,,,,,,,
5,AR,Arkansas,49-9043,"Maintenance Workers, Machinery",,"1,530",4.2,12.53,"26,070",2.0,8.92,10.42,12.23,13.96,17.15,"18,550","21,680","25,440","29,030","35,670",,2001,,,,,,,,,,,,
5,AR,Arkansas,51-0000,Production Occupations,major,"164,300",1.8,11.22,"23,340",0.8,7.10,8.15,10.16,13.29,16.90,"14,760","16,950","21,130","27,640","35,160",,2001,,,,,,,,,,,,
5,AR,Arkansas,51-1011,First-Line Supervisors/Managers Of Production And Operating Workers,,"9,480",2.5,17.93,"37,290",1.1,10.11,12.55,16.66,21.78,27.77,"21,030","26,100","34,650","45,290","57,770",,2001,,,,,,,,,,,,
5,AR,Arkansas,51-5021,Job Printers,,680,18.6,10.79,"22,440",4.6,5.95,7.66,10.04,13.98,17.00,"12,370","15,930","20,880","29,090","35,360",,2001,,,,,,,,,,,,
5,AR,Arkansas,53-3031,Driver/Sales Workers,,"3,080",8.1,11.97,"24,900",2.9,6.89,8.97,11.46,14.53,17.64,"14,340","18,650","23,840","30,220","36,690",,2001,,,,,,,,,,,,
6,CA,California,11-3051,Industrial Production Managers,,"18,510",2.3,36.07,"75,030",0.7,20.02,25.90,34.34,44.83,57.23,"41,650","53,870","71,420","93,240","119,030",,2001,,,,,,,,,,,,
6,CA,California,11-9051,Food Service Managers,,"30,520",28.2,28.69,"59,680",17.3,13.80,16.14,22.03,46.21,51.89,"28,710","33,580","45,820","96,120","107,940",,2001,,,,,,,,,,,,
6,CA,California,17-2112,Industrial Engineers,,"18,320",4.8,32.74,"68,090",1.0,20.11,25.79,32.17,39.52,47.43,"41,820","53,640","66,900","82,200","98,660",,2001,,,,,,,,,,,,
6,CA,California,17-2131,Materials Engineers,,"2,330",7.5,31.88,"66,310",1.7,19.29,24.30,30.81,38.33,46.46,"40,130","50,550","64,070","79,720","96,630",,2001,,,,,,,,,,,,
6,CA,California,19-2032,Materials Scientists,,"1,240",20.5,30.65,"63,760",3.6,18.26,21.70,28.60,38.16,47.57,"37,990","45,130","59,480","79,370","98,940",,2001,,,,,,,,,,,,
6,CA,California,23-2092,Law Clerks,,"4,210",17.4,15.99,"33,250",3.6,11.08,12.24,14.31,18.07,23.21,"23,040","25,460","29,770","37,580","48,280",,2001,,,,,,,,,,,,
6,CA,California,27-1021,Commercial And Industrial Designers,,"2,250",10.3,26.65,"55,440",2.6,15.04,19.15,24.63,32.70,41.93,"31,290","39,840","51,240","68,020","87,210",,2001,,,,,,,,,,,,
6,CA,California,29-1123,Physical Therapists,,"11,690",5.1,31.23,"64,960",1.1,20.97,25.96,31.15,36.37,42.47,"43,620","53,990","64,800","75,650","88,340",,2001,,,,,,,,,,,,
6,CA,California,35-2021,Food Preparation Workers,,"83,270",8.5,8.83,"18,370",1.6,6.74,7.25,8.19,9.98,12.33,"14,010","15,090","17,040","20,750","25,640",,2001,,,,,,,,,,,,
6,CA,California,41-2022,Parts Salespersons,,"22,740",8.0,14.24,"29,610",3.0,7.20,9.25,13.02,17.98,22.35,"14,980","19,230","27,080","37,400","46,500",,2001,,,,,,,,,,,,
6,CA,California,43-4021,Correspondence Clerks,,"3,280",8.7,14.06,"29,250",1.8,9.59,11.46,13.78,16.57,19.65,"19,950","23,840","28,660","34,460","40,870",,2001,,,,,,,,,,,,
6,CA,California,43-4071,File Clerks,,"32,940",4.2,10.79,"22,440",1.1,6.99,8.05,10.18,12.98,15.88,"14,530","16,750","21,170","26,990","33,040",,2001,,,,,,,,,,,,
6,CA,California,43-4151,Order Clerks,,"53,830",6.0,13.06,"27,160",1.9,7.33,9.48,12.27,16.00,19.98,"15,240","19,720","25,510","33,280","41,550",,2001,,,,,,,,,,,,
6,CA,California,45-1012,Farm Labor Contractors,,"3,920",24.1,9.72,"20,220",8.5,6.40,6.61,7.00,10.15,12.31,"13,300","13,760","14,560","21,100","25,610",,2001,,,,,,,,,,,,
6,CA,California,47-2072,Pile-Driver Operators,,550,20.0,29.01,"60,350",2.1,20.59,26.25,30.64,33.55,35.47,"42,830","54,600","63,730","69,790","73,790",,2001,,,,,,,,,,,,
6,CA,California,49-9041,Industrial Machinery Mechanics,,"11,280",5.6,20.50,"42,640",0.8,13.00,17.08,20.79,24.66,27.33,"27,030","35,530","43,240","51,300","56,840",,2001,,,,,,,,,,,,
6,CA,California,49-9043,"Maintenance Workers, Machinery",,"6,430",5.2,16.93,"35,220",1.6,9.19,12.24,16.50,21.04,25.79,"19,110","25,460","34,310","43,750","53,650",,2001,,,,,,,,,,,,
